host	C1	C19	P15	P20	P21	dapc1.grp	PCA.pc.1	PCA.pc.2	PCA.pc.3	PCA.pc.4	PCA.pc.5	phenotype
D038	R	R	S	R	S	1	-3.25782783428596	-4.84200366114908	0.148913435126969	-0.340000085665866	0.359434885978135	RRR
D053	R	R	S	S	S	3	6.60463527274056	1.22134353033867	0.237003415085423	-0.805522214579891	0.0607900452960218	RRS
D092	S	S	S	S	S	1	-2.93383165625839	-4.29086948318638	-0.0673206309147603	0.342189108802239	-0.158579836292508	SSS
D096	R	R	S	R	S	1	-2.94323401508812	-0.176751900837316	0.364797216745872	-0.512481212854006	-0.306993942107536	RRR
D160	S	S	S	S	R	3	6.68340428802664	-2.81659148492386	0.674568801918842	0.127911413590225	-0.708789916690845	SSS
D179	R	R	S	S	S	3	6.60442407734709	1.5799704658727	0.0466819287611345	0.461575508512821	-0.0810684001211062	RRS
D232	S	S	S	S	S	3	10.3811264713631	1.39652114029252	-4.24224998050889	-0.0525978820981045	-1.87500515518572	SSS
D244	S	S	S	S	S	3	6.68686210482444	1.55598997500178	0.4446992314128	-0.771977699796598	-0.313539610592542	SSS
D259	R	R	S	R	S	1	-3.45073900300546	-4.77518535162256	-0.00208103231034517	-0.416907692011475	-0.229407552582116	RRR
D300	S	S	S	S	S	1	-3.13976233796472	-0.573696917698505	0.0497152977821387	-0.752639369461717	0.147313514637995	SSS
D441	R	R	S	S	S	3	6.58220387724389	1.28449882298318	0.250885916628929	-0.720035908744216	0.0553908969188686	RRS
D716	R	R	S	S	S	3	6.67439456579718	1.39489388001641	0.390238902991845	-0.463952007977714	-0.228751300481536	RRS
D727	R	R	S	S	S	3	6.59775594990406	1.39743646033961	0.198316088853968	-0.503426443944339	-0.0613862332644266	RRS
D774	R	R	S	S	S	3	15.7794521361955	-0.674922189686143	-0.0754087149402789	-0.226007236574038	0.598138529757925	RRS
D778	S	R	S	S	S	1	-3.00150530380119	-0.188518277037898	0.0458243048565322	0.541277105580365	-0.141921822423517	SRS
D792	R	R	S	R	S	1	-3.15902761753191	-0.10278016037943	-0.377546188663183	0.449848633084566	0.263286233348613	RRR
D801	S	S	S	S	S	3	6.65611764300145	1.46650993291605	0.452004276483907	-0.583995453938081	-0.302499398053373	SSS
D803	R	R	S	R	S	2	-2.55413473053428	3.37665125882875	0.21952402600711	-0.968005431594404	0.23684542139615	RRR
D805	R	R	S	R	S	3	6.45496028457679	-2.70265796693681	0.242866984792808	1.15899172176722	-0.236154937897164	RRR
D807	R	S	S	S	S	1	-3.17198140701254	-0.0426147005270251	-0.323303869641297	0.748166764736798	0.78715899116707	RSS
D808	R	R	S	R	S	3	6.6199339100823	1.73912699843532	0.271420466496437	-0.56099056491292	-0.249716663115335	RRR
D810	R	S	S	S	S	3	15.8545566892049	-0.689276802490292	-0.0833688538591845	-0.18230981431181	0.647662092732463	RSS
D811	S	S	S	S	S	2	-2.82067882321511	4.18361731202958	-0.0691647567362964	0.22457152571511	0.477689053720342	SSS
D812	R	R	S	S	S	3	15.8418609939934	-0.72154940284989	-0.119046087278413	-0.172843909089075	0.632529700397556	RRS
D814	R	R	S	S	S	3	6.4752980872554	1.73644342123575	0.0123082390802021	0.393216960760648	0.0930648149656163	RRS
